,input,label,reasoning
110,"A teacher had 7 worksheets to grade. If she graded 2, but then another 46 were turned in, how many worksheets would she have to grade?",51,X=((7.0+46.0)-2.0)
419,"A painter needed to paint 12 rooms in a building. Each room takes 7 hours to paint. If he already painted 5 rooms, how much longer will he take to paint the rest?",49,X=(7.0*(12.0-5.0))
565,"Roger had 120 pieces of clothing to wash. He put 48 of them in one load, but decided to split the rest into 9 equal loads. How many pieces of clothing could go in each of the small loads?",8,X=((120.0-48.0)/9.0)
77,"Tom had to wash 10 short sleeve shirts and 25 long sleeve shirts before school. If he had only washed 5 of them by the time school started, how many did he not wash?",30,X=((10.0+25.0)-5.0)
181,"Emily was playing a video game and had 42 lives. In a hard part of the game she lost 25 lives. If she got 24 more lives in the next level, how many lives would she have?",41,X=((42.0+24.0)-25.0)
284,"Sam was collecting cans for recycling. On Saturday he filled 3 bags up and on Sunday he filled 4 more bags. If each bag had 9 cans in it, how many cans did he pick up total?",63,X=(9.0*(3.0+4.0))
10,"Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash?",66,X=((39.0+47.0)-20.0)
469,"A trivia team had 14 members total, but during a game 7 members didn't show up. If each member that did show up scored 5 points, how many points were scored total?",35,X=(5.0*(14.0-7.0))
78,"Vanessa had 16 music files and 48 video files on her flash drive. If she deleted 30 of the files, how many files were still on her flash drive?",34,X=((16.0+48.0)-30.0)
349,"Frank had saved up 3 dollars. If he received another 37 dollars for his allowance, how many 8 dollar toys could he buy?",5,X=((3.0+37.0)/8.0)
55,"The school cafeteria ordered 33 red apples and 23 green apples for students lunches. But, if only 21 students wanted fruit, how many extra did the cafeteria end up with?",35,X=((33.0+23.0)-21.0)
118,"Tiffany was playing a video game and had 43 lives. In a hard part of the game she lost 14 lives. If she got 27 more lives in the next level, how many lives would she have?",56,X=((43.0+27.0)-14.0)
109,"At the fair there were 9 people in line for the bumper cars. If 6 of them got tired of waiting and left and 3 more got in line, how many people would be in line?",6,X=((9.0+3.0)-6.0)
588,"Jerry had 60 pieces of clothing to wash. He put 40 of them in one load, but decided to split the rest into 5 equal loads. How many pieces of clothing could go in each of the small loads?",4,X=((60.0-40.0)/5.0)
369,At a company picnic 23 managers and 7 employees decided to start a game of volleyball. If they split into 6 teams how many people would be on each team?,5,X=((23.0+7.0)/6.0)
234,"Maria bought 2 new chairs and 2 new tables for her house. If she spent 8 minutes on each piece furniture putting it together, how many minutes did it take her to finish?",32,X=(8.0*(2.0+2.0))
30,A pet store had 38 siamese cats and 25 house cats. During a sale they sold 45 cats. How many cats do they have left?,18,X=((38.0+25.0)-45.0)
212,"Cody bought 7 boxes of chocolate candy and 3 boxes of caramel candy. If each box has 8 pieces inside it, how much candy did he have total?",80,X=(8.0*(7.0+3.0))
184,"At the fair there were 31 people in line for the bumper cars. If 25 of them got tired of waiting and left and 25 more got in line, how many people would be in line?",31,X=((31.0+25.0)-25.0)
86,"There were 9 girls and 14 boys trying out for the schools basketball team. If only 2 of them got called back, how many students didn't make the cut?",21,X=((9.0+14.0)-2.0)
2,"Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with?",2,X=((2.0+2.0)-2.0)
587,"The cafeteria had 86 apples. For lunch they handed out 30 to students and decided to use the rest to make pies. If each pie takes 8 apples, how many pies could they make?",7,X=((86.0-30.0)/8.0)
535,A store had 40 coloring books in stock. They ended up putting them on sale and getting rid of 20 of them. The put the ones they still had onto shelves with 4 on each shelf. How many shelves did they use?,5,X=((40.0-20.0)/4.0)
596,"Tom bought 40 tickets at the state fair. He spent 28 tickets at the 'dunk a clown' booth and decided to use the rest on rides. If each ride cost 4 tickets, how many rides could he go on?",3,X=((40.0-28.0)/4.0)
368,The schools debate team had 5 boys and 40 girls on it. If they were split into groups of 9 how many groups could they make?,5,X=((5.0+40.0)/9.0)
539,Nancy was planting vegetables in her garden. She started with 52 seeds and planted 28 of them in the big garden and in each of her small gardens put 4 seeds each. How many small gardens did Nancy have?,6,X=((52.0-28.0)/4.0)
72,"The school cafeteria ordered 37 red apples and 45 green apples for students lunches. But, if only 51 students wanted fruit, how many extra did the cafeteria end up with?",31,X=((37.0+45.0)-51.0)
135,"At the fair there were 10 people in line for the bumper cars. If 2 of them got tired of waiting and left and 2 more got in line, how many people would be in line?",10,X=((10.0+2.0)-2.0)
556,Wendy uploaded 45 pictures to Facebook. She put 27 pics into one album and put the rest into 9 different albums. How many pictures were in each album?,2,X=((45.0-27.0)/9.0)
437,"A worksheet had 4 problems on it. If a teacher had 9 worksheets to grade and had already graded 5 of them, how many more problems does she have to grade?",16,X=(4.0*(9.0-5.0))
595,"Roger had 68 dollars. If he spent 47 bucks on a new game, how many 7 dollar toys could he buy with the money he had left?",3,X=((68.0-47.0)/7.0)
163,"Nancy picked 12 carrots from her garden. If she threw out 2 of them and then picked 21 more the next day, how many carrots would she have total?",31,X=((12.0+21.0)-2.0)
82,"While on vacation, Nancy took 49 pictures at the zoo and 8 at the museum. If she later deleted 38 of the pictures, how many pictures from her vacation did she still have?",19,X=((49.0+8.0)-38.0)
257,"While shopping for music online, Isabel bought 4 country albums and 5 pop albums. Each album came with a lyric sheet and had 8 songs. How many songs did Isabel buy total?",72,X=(8.0*(4.0+5.0))
192,"At the arcade Edward won 9 tickets. If he spent 4 tickets on a beanie and later won 4 more tickets, how many would he have?",9,X=((9.0+4.0)-4.0)
453,"Henry had 3 action figures, but needed 8 total for a complete collection. If each one costs $6, how much money would he need to finish his collection?",30,X=(6.0*(8.0-3.0))
132,"At the arcade Jerry won 4 tickets. If he spent 2 tickets on a beanie and later won 47 more tickets, how many would he have?",49,X=((4.0+47.0)-2.0)
515,"There are 65 students trying out for the school's trivia teams. If 17 of them didn't get picked for the team and the rest were put into 8 groups, how many students would be in each group?",6,X=((65.0-17.0)/8.0)
441,"A magician was selling magic card decks for 5 dollars each. If he started with 14 decks and by the end of the day he had 5 left, how much money did he earn?",45,X=(5.0*(14.0-5.0))
275,"Kaleb was collecting cans for recycling. On Saturday he filled 5 bags up and on Sunday he filled 5 more bags. If each bag had 4 cans in it, how many cans did he pick up total?",40,X=(4.0*(5.0+5.0))
364,"There school's baseball team had 31 new players and 4 returning players. If the coach put them into groups with 7 players in each group, how many groups would there be?",5,X=((31.0+4.0)/7.0)
29,"There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut?",17,X=((39.0+4.0)-26.0)
506,Wendy uploaded 79 pictures to Facebook. She put 44 pics into one album and put the rest into 5 different albums. How many pictures were in each album?,7,X=((79.0-44.0)/5.0)
570,"Paige picked 53 flowers for her friendâ€™s wedding. She was making bouquets with 7 flowers in each one. If 18 of the flowers wilted before the wedding, how many bouquets could she still make?",5,X=((53.0-18.0)/7.0)
24,"While on vacation, Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, how many pictures from her vacation did she still have?",55,X=((41.0+29.0)-15.0)
182,"Debby had 30 coloring books. If she gave away 7 of them, but then bought 35 more, how many would she have total?",58,X=((30.0+35.0)-7.0)
473,"Isabel baked 3 brownies, but needed 5 total for her party. If she used 5 cups of flour on each one, how much cups of flour does she still need?",10,X=(5.0*(5.0-3.0))
104,"Oliver had 33 dollars in January. By March he had spent 4 dollars. If he got another 32 dollars from his mom, how much money would he have?",61,X=((33.0+32.0)-4.0)
63,"The school cafeteria ordered 8 red apples and 43 green apples for students lunches. But, if only 42 students wanted fruit, how many extra did the cafeteria end up with?",9,X=((8.0+43.0)-42.0)
490,"At the fair Adam bought 10 tickets. After riding the ferris wheel he had 3 tickets left. If each ticket cost 9 dollars, how much money did Adam spend riding the ferris wheel?",63,X=(9.0*(10.0-3.0))
245,"Chloe was organizing her book case making sure each of the shelves had exactly 6 books on it. If she had 5 shelves of mystery books and 4 shelves of picture books, how many books did she have total?",54,X=(6.0*(5.0+4.0))
248,"Tiffany had 6 pages of math homework and 4 pages of reading homework. If each page had 3 problems on it, how many problems did she have to complete total?",30,X=(3.0*(6.0+4.0))
101,For Halloween Faye scored 47 pieces of candy. She ate 25 pieces the first night and then her sister gave her 40 more pieces. How many pieces of candy does Faye have now?,62,X=((47.0+40.0)-25.0)
555,"Megan baked 71 cupcakes for her school's bake sale. If her brother, Todd, ate 43 of them how many packages could she make if she put 7 cupcake in each package?",4,X=((71.0-43.0)/7.0)
591,For Halloween Bianca received 32 pieces of candy. She ate 12 pieces then placed the rest into piles with 5 in each pile. How many piles could she make?,4,X=((32.0-12.0)/5.0)
356,"Haley and her friends were recycling paper for their class. For every 3 pounds they recycled they earned one point. If Haley recycled 11 pounds and her friends recycled 16 pounds, how many points did they earn?",9,X=((11.0+16.0)/3.0)
209,"Rachel was organizing her book case making sure each of the shelves had exactly 9 books on it. If she had 6 shelves of mystery books and 2 shelves of picture books, how many books did she have total?",72,X=(9.0*(6.0+2.0))
165,"Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have?",39,X=((5.0+38.0)-4.0)
137,"George had 28 socks. If he threw away 4 old ones that didn't fit and bought 36 new ones, how many socks would he have?",60,X=((28.0+36.0)-4.0)
195,"Roger had 25 books. If he sold 21 of them and used the money he earned to buy 30 new books, how many books would Roger have?",34,X=((25.0+30.0)-21.0)
76,"A waiter at 'The Greasy Spoon' restaurant had 29 customers to wait on. During the lunch rush he added another 20 customers. If 34 of the customers didn't leave him a tip, how many customers did leave a tip?",15,X=((29.0+20.0)-34.0)
176,"For the school bake sale Robin made 42 cupcakes. If she sold 22 of them and then made 39 more, how many cupcakes would she have?",59,X=((42.0+39.0)-22.0)
329,"Dave was helping the cafeteria workers pick up lunch trays, but he could only carry 9 trays at a time. If he had to pick up 17 trays from one table and 55 trays from another, how many trips will he make?",8,X=((17.0+55.0)/9.0)
536,"There are 64 students trying out for the school's trivia teams. If 36 of them didn't get picked for the team and the rest were put into 4 groups, how many students would be in each group?",7,X=((64.0-36.0)/4.0)
548,"Sarah had 60 homework problems. She finished 20 of them but still had 5 pages of problems to do. If each page has the same number of problems on it, how many problems are on each page?",8,X=((60.0-20.0)/5.0)
70,"At the schools book fair Victor bought 32 adventure books and 37 mystery books. If 16 of the books were used, how many new books did he buy?",53,X=((32.0+37.0)-16.0)
561,For Halloween Bianca received 78 pieces of candy. She ate 30 pieces then placed the rest into piles with 8 in each pile. How many piles could she make?,6,X=((78.0-30.0)/8.0)
589,"Mike made 69 dollars mowing lawns over the summer. If he spent 24 dollars buying new mower blades, how many 5 dollar games could he buy with the money he had left?",9,X=((69.0-24.0)/5.0)
81,"Bianca picked 39 tulips and 49 roses to make flower bouquets. If she only used 81 of the flowers though, how many extra flowers did Bianca pick?",7,X=((39.0+49.0)-81.0)
316,"John made 6 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him?",8,X=((6.0+18.0)/3.0)
304,"Luke made 9 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him?",9,X=((9.0+18.0)/3.0)
6,Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now?,19,X=((16.0+28.0)-25.0)
423,"Each chocolate bar in a box cost $6. If a box had 13 bars total and Zoe sold all but 6 bars, how much money would she have made?",42,X=(6.0*(13.0-6.0))
374,For homework Amy had 18 math problems and 6 spelling problems. If she can finish 4 problems in an hour how long will it take her to finish all the problems?,6,X=((18.0+6.0)/4.0)
429,"A chef needs to cook 12 potatoes. He has already cooked 6. If each potato takes 6 minutes to cook, how long will it take him to cook the rest?",36,X=(6.0*(12.0-6.0))
537,Kaleb was selling his old games. He started out with 76 but sold 46 of them. He packed the rest up putting 5 games into each box. How many boxes did he have to use?,6,X=((76.0-46.0)/5.0)
312,"A vase can hold 6 flowers. If you had 7 carnations and 47 roses, how many vases would you need to hold the flowers?",9,X=((7.0+47.0)/6.0)
238,"At the town carnival Oliver rode the ferris wheel 5 times and the bumper cars 4 times. If each ride cost 7 tickets, how many tickets did he use?",63,X=(7.0*(5.0+4.0))
559,"Nancy had 101 homework problems. She finished 47 of them but still had 6 pages of problems to do. If each page has the same number of problems on it, how many problems are on each page?",9,X=((101.0-47.0)/6.0)
432,"Dave bought 12 boxes of chocolate candy and gave 5 to his little brother. If each box has 3 pieces inside it, how many pieces did Dave still have?",21,X=(3.0*(12.0-5.0))
286,Dave was working as a sacker at a grocery store where he made 6 dollars an hour. On Monday he worked 6 hours and on Tuesday he worked 2 hours. How much money did Dave make in those two days?,48,X=(6.0*(6.0+2.0))
426,"In a video game, each enemy defeated gives you 5 points. If a level has 8 enemies total and you destroy all but 6 of them, how many points would you earn?",10,X=(5.0*(8.0-6.0))
598,"Sarah baked 38 cupcakes for her school's bake sale. If her brother, Todd, ate 14 of them how many packages could she make if she put 8 cupcake in each package?",3,X=((38.0-14.0)/8.0)
361,For homework Faye had 13 math problems and 2 spelling problems. If she can finish 3 problems in an hour how long will it take her to finish all the problems?,5,X=((13.0+2.0)/3.0)
73,"While shopping, Maria bought 35 green towels and 21 white towels. If she gave her mother 34 of them, how many towels did Maria end up with?",22,X=((35.0+21.0)-34.0)
39,"Edward was trying to expand his game collection. He bought 41 games from a friend and bought 14 more at a garage sale. If 31 of the games didn't work, how many good games did he end up with?",24,X=((41.0+14.0)-31.0)
155,"At the arcade Dave won 25 tickets. If he spent 22 tickets on a beanie and later won 15 more tickets, how many would he have?",18,X=((25.0+15.0)-22.0)
218,Victor and his friend were buying trick decks from the magic shop for 8 dollars each. How much did they spend if Victor bought 6 decks and his friend bought 2 decks?,64,X=(8.0*(6.0+2.0))
370,"For a birthday party Cody bought 4 regular sodas and 44 diet sodas. If his fridge would only hold 6 on each shelf, how many shelves would he fill up?",8,X=((4.0+44.0)/6.0)
210,Rachel was unboxing some of her old winter clothes. She found 7 boxes of clothing and inside each box there were 3 scarves and 4 mittens. How many pieces of winter clothing did Rachel have total?,49,X=(7.0*(3.0+4.0))
235,"Olivia was playing a video game where she scores 8 points for each treasure she finds. If she found 2 treasures on the first level and 2 on the second, what would her score be?",32,X=(8.0*(2.0+2.0))
546,A store had 120 coloring books in stock. They ended up putting them on sale and getting rid of 39 of them. The put the ones they still had onto shelves with 9 on each shelf. How many shelves did they use?,9,X=((120.0-39.0)/9.0)
60,"Janet picked 4 tulips and 11 roses to make flower bouquets. If she only used 11 of the flowers though, how many extra flowers did Janet pick?",4,X=((4.0+11.0)-11.0)
300,The schools debate team had 26 boys and 46 girls on it. If they were split into groups of 9 how many groups could they make?,8,X=((26.0+46.0)/9.0)
259,"Rachel was playing a video game where she scores 9 points for each treasure she finds. If she found 5 treasures on the first level and 2 on the second, what would her score be?",63,X=(9.0*(5.0+2.0))
280,Lana was unboxing some of her old winter clothes. She found 3 boxes of clothing and inside each box there were 3 scarves and 4 mittens. How many pieces of winter clothing did Lana have total?,21,X=(3.0*(3.0+4.0))
228,"While playing a trivia game, Frank answered 3 questions correct in the first half and 2 questions correct in the second half. If each question was worth 3 points, what was his final score?",15,X=(3.0*(3.0+2.0))
11,For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell?,9,X=((4.0+29.0)-24.0)
412,"Jerry had 7 action figures, but needed 16 total for a complete collection. If each one costs $8, how much money would he need to finish his collection?",72,X=(8.0*(16.0-7.0))
83,"Gwen had 18 math problems and 11 science problems for homework. If she finished 24 of the problems at school, how many problems did she have to do for homework?",5,X=((18.0+11.0)-24.0)
